,device_tag,mac_address,timestamps,quaternions_0,quaternions_1,quaternions_2,quaternions_3,accelerations_0,accelerations_1,accelerations_2
20,Movella DOT,D4:22:CD:07:A7:43,333340,0.6251826286315918,-0.005231483839452267,0.002081136219203472,0.7804582715034485,-0.11626799404621124,0.050424665212631226,10.20252513885498
21,Movella DOT,D4:22:CD:07:A7:43,350007,0.6251688003540039,-0.005305735860019922,0.001950446399860084,0.7804692983627319,-0.12195964902639389,0.01837221160531044,10.180227279663086
21,Movella DOT,D4:22:CD:07:AA:FB,350007,0.2222972810268402,0.012969329953193665,0.0038856726605445147,0.9748849868774414,0.19946099817752838,0.15947481989860535,9.691987991333008
22,Movella DOT,D4:22:CD:07:AA:FB,366674,0.2219080626964569,0.01304058637470007,0.0038317348808050156,0.9749729633331299,0.19166027009487152,0.13977231085300446,9.688329696655273
22,Movella DOT,D4:22:CD:07:A7:43,366674,0.6250969171524048,-0.005374760366976261,0.0018161607440561056,0.7805265784263611,-0.13374140858650208,0.022397838532924652,10.195013046264648
23,Movella DOT,D4:22:CD:07:AA:FB,383341,0.22180362045764923,0.013110620900988579,0.003775728400796652,0.9749959707260132,0.18201375007629395,0.1287112534046173,9.710918426513672
23,Movella DOT,D4:22:CD:07:A7:43,383341,0.6252048015594482,-0.0054552131332457066,0.001706656999886036,0.7804399132728577,-0.11765211075544357,0.0034706275910139084,10.155157089233398
24,Movella DOT,D4:22:CD:07:A7:43,400008,0.625232458114624,-0.0055180201306939125,0.001589757390320301,0.7804175615310669,-0.10131983458995819,0.003493943251669407,10.172234535217285
24,Movella DOT,D4:22:CD:07:AA:FB,400008,0.22209492325782776,0.013172301463782787,0.003704122733324766,0.9749290943145752,0.18640334904193878,0.11810604482889175,9.694929122924805
25,Movella DOT,D4:22:CD:07:A7:43,416675,0.6252449154853821,-0.005584842059761286,0.0014735618606209755,0.7804073095321655,-0.09107713401317596,-0.0031560854986310005,10.17857837677002
25,Movella DOT,D4:22:CD:07:AA:FB,416675,0.2225065678358078,0.013233582489192486,0.0036274665035307407,0.9748347401618958,0.17939554154872894,0.11916064471006393,9.6766996383667
26,Movella DOT,D4:22:CD:07:A7:43,433342,0.6252322793006897,-0.005662703420966864,0.0013484394876286387,0.7804170250892639,-0.10167944431304932,0.023349827155470848,10.197092056274414
26,Movella DOT,D4:22:CD:07:AA:FB,433342,0.22256708145141602,0.013299951329827309,0.003555798437446356,0.9748201966285706,0.18742650747299194,0.13795441389083862,9.689811706542969
27,Movella DOT,D4:22:CD:07:AA:FB,450009,0.22233310341835022,0.013358677737414837,0.003498723730444908,0.9748730659484863,0.18152378499507904,0.15550409257411957,9.670112609863281
27,Movella DOT,D4:22:CD:07:A7:43,450009,0.6253071427345276,-0.005736419465392828,0.0012089512310922146,0.7803568243980408,-0.12303117662668228,0.012414248660206795,10.198225021362305
28,Movella DOT,D4:22:CD:07:A7:43,466676,0.6253210306167603,-0.00579815823584795,0.0010855706641450524,0.7803454399108887,-0.12365641444921494,0.05299185961484909,10.176797866821289
28,Movella DOT,D4:22:CD:07:AA:FB,466676,0.22246761620044708,0.01342456042766571,0.0034231955651193857,0.9748417735099792,0.20614056289196014,0.1615479737520218,9.702754974365234
29,Movella DOT,D4:22:CD:07:AA:FB,483343,0.222460076212883,0.01349587831646204,0.0033485523890703917,0.9748427271842957,0.21376469731330872,0.16163164377212524,9.709190368652344
29,Movella DOT,D4:22:CD:07:A7:43,483343,0.625272810459137,-0.0058698211796581745,0.0009679831564426422,0.7803835868835449,-0.11818944662809372,0.04446844011545181,10.195059776306152
30,Movella DOT,D4:22:CD:07:A7:43,500010,0.6251409649848938,-0.00594399543479085,0.0008412475581280887,0.7804888486862183,-0.1248430386185646,0.04187043756246567,10.17799186706543
30,Movella DOT,D4:22:CD:07:AA:FB,500010,0.22259892523288727,0.013559781946241856,0.0032806554809212685,0.9748103618621826,0.19863785803318024,0.15431292355060577,9.682650566101074
31,Movella DOT,D4:22:CD:07:AA:FB,516677,0.22273266315460205,0.01362183690071106,0.0032203407026827335,0.9747791886329651,0.1781846582889557,0.1329689472913742,9.665494918823242
31,Movella DOT,D4:22:CD:07:A7:43,516677,0.6251505017280579,-0.005993610713630915,0.0007169207674451172,0.7804809808731079,-0.12426569312810898,0.0378708578646183,10.186060905456543
32,Movella DOT,D4:22:CD:07:A7:43,533344,0.6251506209373474,-0.0060524968430399895,0.0005900454707443714,0.7804805636405945,-0.10879164934158325,0.01768847368657589,10.190305709838867
32,Movella DOT,D4:22:CD:07:AA:FB,533344,0.22300569713115692,0.013696137815713882,0.0031489799730479717,0.9747158885002136,0.18968817591667175,0.13145862519741058,9.675860404968262
33,Movella DOT,D4:22:CD:07:A7:43,550011,0.6251060962677002,-0.006117500830441713,0.00046443456085398793,0.780515730381012,-0.11780878156423569,0.01942441053688526,10.194889068603516
33,Movella DOT,D4:22:CD:07:AA:FB,550011,0.223100945353508,0.01376876700669527,0.0030750161968171597,0.9746933579444885,0.19864946603775024,0.14748349785804749,9.698654174804688
34,Movella DOT,D4:22:CD:07:AA:FB,566678,0.22323274612426758,0.013827812857925892,0.003005276434123516,0.9746624827384949,0.19245801866054535,0.1561201512813568,9.700471878051758
34,Movella DOT,D4:22:CD:07:A7:43,566678,0.6251257658004761,-0.006183788646012545,0.0003441559092607349,0.7804995179176331,-0.11656387895345688,0.03102133609354496,10.207296371459961
35,Movella DOT,D4:22:CD:07:A7:43,583345,0.6250972747802734,-0.00624994607642293,0.00023385908571071923,0.780521810054779,-0.12201747298240662,0.008565628901124,10.198410034179688
35,Movella DOT,D4:22:CD:07:AA:FB,583345,0.22339370846748352,0.013888281770050526,0.002941455692052841,0.9746250510215759,0.19158105552196503,0.147539421916008,9.682918548583984
36,Movella DOT,D4:22:CD:07:AA:FB,600012,0.22343958914279938,0.013958697207272053,0.0028768260963261127,0.974613606929779,0.18214362859725952,0.13050371408462524,9.683327674865723
36,Movella DOT,D4:22:CD:07:A7:43,600012,0.6251150369644165,-0.006314785219728947,0.00010798715811688453,0.7805072069168091,-0.11509987711906433,0.011872444301843643,10.212431907653809
37,Movella DOT,D4:22:CD:07:AA:FB,616679,0.22342151403427124,0.014022286981344223,0.002823827089741826,0.9746171236038208,0.18977972865104675,0.14708058536052704,9.694086074829102
37,Movella DOT,D4:22:CD:07:A7:43,616679,0.62505042552948,-0.006390817929059267,-2.1703384845750406e-05,0.7805583477020264,-0.13009142875671387,0.01293015107512474,10.191872596740723
38,Movella DOT,D4:22:CD:07:A7:43,633346,0.6249338984489441,-0.0064713298343122005,-0.0001348548976238817,0.7806508541107178,-0.11131472140550613,0.04679257050156593,10.217041969299316
38,Movella DOT,D4:22:CD:07:AA:FB,633346,0.223546102643013,0.014087541028857231,0.0027561450842767954,0.9745876789093018,0.19938057661056519,0.15848098695278168,9.675118446350098
39,Movella DOT,D4:22:CD:07:AA:FB,650013,0.22375021874904633,0.014144469983875751,0.0026850863359868526,0.9745402336120605,0.19705386459827423,0.1408413052558899,9.693955421447754
39,Movella DOT,D4:22:CD:07:A7:43,650013,0.6249162554740906,-0.006547815632075071,-0.0002535441017244011,0.780664324760437,-0.12200377881526947,0.030812960118055344,10.166519165039062
40,Movella DOT,D4:22:CD:07:A7:43,666680,0.6248472332954407,-0.006611762568354607,-0.00037900329334661365,0.780718982219696,-0.11585735529661179,0.031262028962373734,10.202857971191406
40,Movella DOT,D4:22:CD:07:AA:FB,666680,0.22398370504379272,0.014199290424585342,0.0026174599770456553,0.9744859933853149,0.19066444039344788,0.1400369554758072,9.6961669921875
41,Movella DOT,D4:22:CD:07:AA:FB,683347,0.22418524324893951,0.014266026206314564,0.0025489863473922014,0.9744389057159424,0.1882895529270172,0.12969017028808594,9.67306900024414
41,Movella DOT,D4:22:CD:07:A7:43,683347,0.6248186826705933,-0.006677794270217419,-0.0004962489474564791,0.7807411551475525,-0.1173378974199295,0.017903542146086693,10.185157775878906
42,Movella DOT,D4:22:CD:07:A7:43,700014,0.62481290102005,-0.0067457170225679874,-0.0006080835592001677,0.7807452082633972,-0.12588076293468475,0.00951396580785513,10.185224533081055
42,Movella DOT,D4:22:CD:07:AA:FB,700014,0.22435376048088074,0.014327587559819221,0.002489978913217783,0.9743993878364563,0.1911618560552597,0.13620656728744507,9.705018043518066
43,Movella DOT,D4:22:CD:07:AA:FB,716681,0.22446224093437195,0.01439904235303402,0.002427010564133525,0.9743735790252686,0.18479278683662415,0.15589186549186707,9.702998161315918
43,Movella DOT,D4:22:CD:07:A7:43,716681,0.6248079538345337,-0.006811688654124737,-0.0007277473923750222,0.7807486057281494,-0.11768201738595963,0.029872843995690346,10.202593803405762
44,Movella DOT,D4:22:CD:07:A7:43,733348,0.6247944831848145,-0.006868560332804918,-0.0008491199696436524,0.7807586193084717,-0.11116527765989304,0.01721223071217537,10.171782493591309
44,Movella DOT,D4:22:CD:07:AA:FB,733348,0.2247740924358368,0.014471244998276234,0.002363483887165785,0.9743006825447083,0.18910755217075348,0.14482231438159943,9.684123039245605
45,Movella DOT,D4:22:CD:07:AA:FB,750015,0.22474956512451172,0.014540025033056736,0.0023054974153637886,0.9743053913116455,0.18414418399333954,0.13305440545082092,9.69455337524414
45,Movella DOT,D4:22:CD:07:A7:43,750015,0.6247093081474304,-0.006924566812813282,-0.0009661127114668489,0.7808262705802917,-0.11223655194044113,0.017770905047655106,10.187064170837402
46,Movella DOT,D4:22:CD:07:A7:43,766682,0.6247053146362305,-0.006989984307438135,-0.001085571595467627,0.7808286547660828,-0.10546959936618805,0.03209109604358673,10.224250793457031
46,Movella DOT,D4:22:CD:07:AA:FB,766682,0.22474944591522217,0.014602591283619404,0.0022467144299298525,0.974304735660553,0.20198462903499603,0.1394558846950531,9.69578742980957
47,Movella DOT,D4:22:CD:07:AA:FB,783349,0.22490906715393066,0.014673641882836819,0.00216768984682858,0.9742668867111206,0.20935525000095367,0.1401621699333191,9.671797752380371
47,Movella DOT,D4:22:CD:07:A7:43,783349,0.6246339678764343,-0.0070615652948617935,-0.001211180235259235,0.7808849215507507,-0.11329851299524307,0.042104579508304596,10.189019203186035
48,Movella DOT,D4:22:CD:07:A7:43,800016,0.6245923042297363,-0.007133462466299534,-0.0013310424983501434,0.7809174656867981,-0.1064215674996376,0.03805696219205856,10.179333686828613
48,Movella DOT,D4:22:CD:07:AA:FB,800016,0.2249944508075714,0.014739980921149254,0.0020934604108333588,0.9742463827133179,0.2044631838798523,0.1532978117465973,9.67041301727295
49,Movella DOT,D4:22:CD:07:AA:FB,816683,0.22526468336582184,0.01480618305504322,0.002024621469900012,0.9741831421852112,0.1985003799200058,0.16647253930568695,9.68603801727295
49,Movella DOT,D4:22:CD:07:A7:43,816683,0.624517023563385,-0.007209280040115118,-0.0014517620438709855,0.7809766530990601,-0.11547140777111053,0.024461869150400162,10.201130867004395
50,Movella DOT,D4:22:CD:07:A7:43,833350,0.6243607997894287,-0.007286835927516222,-0.0015700781950727105,0.7811005711555481,-0.11812163144350052,0.03417512774467468,10.201313018798828
50,Movella DOT,D4:22:CD:07:AA:FB,833350,0.22520525753498077,0.014867089688777924,0.0019732038490474224,0.9741959571838379,0.19948571920394897,0.14924325048923492,9.710417747497559
51,Movella DOT,D4:22:CD:07:AA:FB,850017,0.22539083659648895,0.014923515729606152,0.0019121711375191808,0.9741522073745728,0.19832874834537506,0.16271759569644928,9.6737642288208
51,Movella DOT,D4:22:CD:07:A7:43,850017,0.6243587732315063,-0.0073472727090120316,-0.0017002896638587117,0.7811013460159302,-0.12473327666521072,0.03212204948067665,10.200817108154297
52,Movella DOT,D4:22:CD:07:A7:43,866684,0.624178409576416,-0.007415880914777517,-0.0018364901188760996,0.7812446355819702,-0.1231541782617569,0.002609350485727191,10.174405097961426
52,Movella DOT,D4:22:CD:07:AA:FB,866684,0.22522562742233276,0.014989092946052551,0.0018527308711782098,0.9741895794868469,0.1988222599029541,0.13743983209133148,9.685860633850098
53,Movella DOT,D4:22:CD:07:AA:FB,883351,0.22517120838165283,0.015059991739690304,0.001795340795069933,0.9742012023925781,0.17341679334640503,0.13377872109413147,9.6781005859375
53,Movella DOT,D4:22:CD:07:A7:43,883351,0.6241216063499451,-0.007479626219719648,-0.001951756188645959,0.7812889814376831,-0.12013235688209534,0.006428995635360479,10.195899963378906
